,Link,Name,Description,Actual_price,offer_price
38,/blue-heaven-powder-matte-rosy-lip-pm06/p/4919437880_rosylip,BLUE HEAVEN,Powder Matte -Rosy Lip PM06,₹165,No Offer
39,/maybelline-new-york-sensational-liquid-matte-lipstick--14-red-serenade/p/4931924640_red,Maybelline New York,Sensational Liquid Matte Lipstick - 14 Red Serenade,₹287,₹230
40,/lakme-9-to-5-weightless-mousse-lip--cheek-color-plum-feather/p/4913356490_plumfeather,LAKME,9 to 5 Weightless Mousse Lip & Cheek Color Plum Feather,₹508,₹406
41,/miss-claire-soft-matte-lip-cream-no-8/p/4924930130_no08,Miss Claire,Soft Matte Lip Cream No 8,₹225,₹191
42,/maybelline-new-york-40-believer-super-stay-matte-ink-liquid-lipstick--5-g/p/4916532930_130selfstarter,Maybelline New York,40 Believer Super Stay Matte Ink Liquid Lipstick - 5 g,₹468,₹367
43,/revlon-super-lustrous-matte-lipstick--rise-up-rose-4-2-g-/p/4919416750_riseuprose,REVLON,Super Lustrous Matte Lipstick - Rise Up Rose (4.2 g),₹559,₹447
44,/miss-claire-soft-matte-lip-cream-no-35/p/4924930130_no35,Miss Claire,Soft Matte Lip Cream No 35,₹225,₹191
45,/miss-claire-matte-power-lipcolor/p/4924927740_no3,Miss Claire,Matte Power Lipcolor,₹395,₹335
46,/revlon-lustrous-the-luscious-matte-lipstick--hot-chocolate/p/4928742550_hotchocolate,REVLON,Lustrous The Luscious Matte Lipstick - Hot Chocolate,₹615,₹483
47,/revlon-super-lustrous-lipstick/p/4928742550_pickmeup,REVLON,Super Lustrous Lipstick,₹583,₹458
48,/maybelline-new-york-super-stay-crayon-lipstick--laugh-louder/p/4919005620_laughlouder,Maybelline New York,Super Stay Crayon Lipstick - Laugh Louder,₹503,₹395
49,/maybelline-new-york-super-stay-ink-crayon-lipstick-x-pinks-edition-85-change-is-good-1-2-g/p/4919383630_changeisgood,Maybelline New York,Super Stay Ink Crayon Lipstick x Pinks Edition 85 Change Is Good 1.2 g,₹575,₹451
50,/swiss-beauty-on-the-move-lip-palette-02-pink--mauve/p/4936361900_multi,Swiss Beauty,On The Move Lip Palette -02 Pink & Mauve,₹297,₹238
51,/miss-claire-soft-matte-lip-cream-no-62/p/4924930130_no62,Miss Claire,Soft Matte Lip Cream No 62,₹295,₹251
